Id;LotFrontage;LotArea;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;GarageArea;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;SalePrice
1;65;8450;196;706;0;150;856;856;854;0;1710;548;0;61;0;0;0;0;0;208500
2;80;9600;0;978;0;284;1262;1262;0;0;1262;460;298;0;0;0;0;0;0;181500
3;68;11250;162;486;0;434;920;920;866;0;1786;608;0;42;0;0;0;0;0;223500
4;60;9550;0;216;0;540;756;961;756;0;1717;642;0;35;272;0;0;0;0;140000
5;84;14260;350;655;0;490;1145;1145;1053;0;2198;836;192;84;0;0;0;0;0;250000
6;85;14115;0;732;0;64;796;796;566;0;1362;480;40;30;0;320;0;0;700;143000
7;75;10084;186;1369;0;317;1686;1694;0;0;1694;636;255;57;0;0;0;0;0;307000
8;NA;10382;240;859;32;216;1107;1107;983;0;2090;484;235;204;228;0;0;0;350;200000
9;51;6120;0;0;0;952;952;1022;752;0;1774;468;90;0;205;0;0;0;0;129900
10;50;7420;0;851;0;140;991;1077;0;0;1077;205;0;4;0;0;0;0;0;118000
11;70;11200;0;906;0;134;1040;1040;0;0;1040;384;0;0;0;0;0;0;0;129500
12;85;11924;286;998;0;177;1175;1182;1142;0;2324;736;147;21;0;0;0;0;0;345000
13;NA;12968;0;737;0;175;912;912;0;0;912;352;140;0;0;0;176;0;0;144000
14;91;10652;306;0;0;1494;1494;1494;0;0;1494;840;160;33;0;0;0;0;0;279500
15;NA;10920;212;733;0;520;1253;1253;0;0;1253;352;0;213;176;0;0;0;0;157000
16;51;6120;0;0;0;832;832;854;0;0;854;576;48;112;0;0;0;0;0;132000
17;NA;11241;180;578;0;426;1004;1004;0;0;1004;480;0;0;0;0;0;0;700;149000
18;72;10791;0;0;0;0;0;1296;0;0;1296;516;0;0;0;0;0;0;500;90000
19;66;13695;0;646;0;468;1114;1114;0;0;1114;576;0;102;0;0;0;0;0;159000
20;70;7560;0;504;0;525;1029;1339;0;0;1339;294;0;0;0;0;0;0;0;139000
21;101;14215;380;0;0;1158;1158;1158;1218;0;2376;853;240;154;0;0;0;0;0;325300
22;57;7449;0;0;0;637;637;1108;0;0;1108;280;0;0;205;0;0;0;0;139400
23;75;9742;281;0;0;1777;1777;1795;0;0;1795;534;171;159;0;0;0;0;0;230000
24;44;4224;0;840;0;200;1040;1060;0;0;1060;572;100;110;0;0;0;0;0;129900
25;NA;8246;0;188;668;204;1060;1060;0;0;1060;270;406;90;0;0;0;0;0;154000
26;110;14230;640;0;0;1566;1566;1600;0;0;1600;890;0;56;0;0;0;0;0;256300
27;60;7200;0;234;486;180;900;900;0;0;900;576;222;32;0;0;0;0;0;134800
28;98;11478;200;1218;0;486;1704;1704;0;0;1704;772;0;50;0;0;0;0;0;306000
29;47;16321;0;1277;0;207;1484;1600;0;0;1600;319;288;258;0;0;0;0;0;207500
30;60;6324;0;0;0;520;520;520;0;0;520;240;49;0;87;0;0;0;0;68500
31;50;8500;0;0;0;649;649;649;668;0;1317;250;0;54;172;0;0;0;0;40000
32;NA;8544;0;0;0;1228;1228;1228;0;0;1228;271;0;65;0;0;0;0;0;149350
33;85;11049;0;0;0;1234;1234;1234;0;0;1234;484;0;30;0;0;0;0;0;179900
34;70;10552;0;1018;0;380;1398;1700;0;0;1700;447;0;38;0;0;0;0;0;165500
35;60;7313;246;1153;0;408;1561;1561;0;0;1561;556;203;47;0;0;0;0;0;277500
